muu13_(sigma,mu)
-3.789964728701930688546125	(22,23)
-3.7602391607346643650784603	(22,24)
-3.7332676770547570913658441	(22,25)
-3.7097006252859125403518452	(22,26)
-3.6901118827077818580645298	(22,27)
-3.6749816281646890576528915	(22,28)
-3.6646823500504753003805486	(22,29)
-3.659468270307751040526585	(22,30)
-3.58198159434056864246208219	(23,1)
-3.58196373238016757926801681	(23,2)
-3.58184328439100329505378316	(23,3)
-3.58145545954865425042626283	(23,4)
-3.58056454423456732699422854	(23,5)
-3.57887718631149361688128487	(23,6)
-3.57605929047974792554851975	(23,7)
-3.57175580821438853886606219	(23,8)
-3.56561252331728386362631054	(23,9)
-3.5572987718233589196634855	(23,10)
-3.54652991278508607557886309	(23,11)
-3.53308830568090054782841459	(23,12)
-3.51684156958355363326023769	(23,13)
-3.497757010575359615960626	(23,14)
-3.47591130844534481471272336	(23,15)
-3.45149484013781856268335595	(23,16)
-3.42481036217724352704734584	(23,17)
-3.39626614430275908980455373	(23,18)
-3.36636400403868176178862192	(23,19)
-3.33568300034563851693418045	(23,20)
-3.30485977427109960662621327	(23,21)
-3.27456665750352982888893139	(23,22)
-3.2454887014334648998464155	(23,23)
-3.21830071857772347572992078	(23,24)
-3.19364529464176756778006419	(23,25)
-3.17211254937157002450252559	(23,26)
-3.1542222259811001726201126	(23,27)
-3.1404084983035569481861572	(23,28)
-3.131007722197071706970799	(23,29)
-3.12624923574916910036709	(23,30)
-3.01512552535379999605499791	(24,1)
-3.01510955701712742499073641	(24,2)
-3.01500187839148312581448258	(24,3)
-3.01465517081045640220359935	(24,4)
-3.01385872082121326534649647	(24,5)
-3.01235031584561988504451503	(24,6)
-3.00983138729028193331380051	(24,7)
-3.00598476458735778261278783	(24,8)
-3.000494234899208462637056	(24,9)
-2.99306495066027988535634611	(24,10)
-2.98344361017782662395276277	(24,11)
-2.9714372762523132656466867	(24,12)
-2.95692971288103182338240591	(24,13)
-2.9398942224865428543737082	(24,14)
-2.92040215725299761646003705	(24,15)
-2.89862654710408576651003893	(24,16)
-2.87484061053417965683413442	(24,17)
-2.8494112605252690102927952	(24,18)
-2.82278804935650993019616227	(24,19)
-2.79548827801632900974795984	(24,20)
-2.76807920025200208942962183	(24,21)
-2.74115836173543725937902748	(24,22)
-2.71533312865390472910649538	(24,23)
-2.69120038747768386344669787	(24,24)
-2.66932725907046559205715611	(24,25)
-2.65023349194419452872999649	(24,26)
-2.63437600881414125103799361	(24,27)
-2.62213590226658251507560783	(24,28)
-2.6138080279373913653663143	(24,29)
-2.609593238112484808783755	(24,30)
-2.46695328058207713282569909	(25,1)
-2.46693953404274445588371826	(25,2)
-2.46684683768722536768337929	(25,3)
-2.46654837193849588323641294	(25,4)
-2.46586275007903981564116323	(25,5)
-2.46456427390209559404742804	(25,6)
-2.46239599968835974695329479	(25,7)
-2.45908506961018634126566087	(25,8)
-2.4543596140427535526409038	(25,9)
-2.44796639315349150794614774	(25,10)
-2.43968823952975414527713643	(25,11)
-2.42936030719941645223396827	(25,12)
-2.41688414378363638346642552	(25,13)
-2.40223869301235118578943089	(25,14)
-2.38548750597939065070499216	(25,15)
-2.36678168116941838893495262	(25,16)
-2.34635834393767157688137834	(25,17)
-2.32453478562558545784096718	(25,18)
-2.30169867680487280523271077	(25,19)
-2.27829501600936794793223149	(25,20)
-2.25481064969292680076066773	(25,21)
-2.23175728711800058603835165	(25,22)
-2.20965393425795003566646129	(25,23)
-2.18900959432018297588909747	(25,24)
-2.17030694891443403806389927	(25,25)
-2.15398756785091659072482164	(25,26)
-2.14043902225506809965139633	(25,27)
-2.12998411712523350030824551	(25,28)
-2.1228723318197353140019304	(25,29)
-2.1192734693167698936689227	(25,30)
-1.94559607972144186804504241	(26,1)
-1.9455848449285750237428015	(26,2)
-1.94550908597090554524531239	(26,3)
-1.94526515636772259555096156	(26,4)
-1.94470481673561288506683719	(26,5)
-1.94364362473214438798542319	(26,6)
-1.94187162978697538466180576	(26,7)
-1.9391659289141779776316744	(26,8)
-1.93530451522865519826755544	(26,9)
-1.9300807355702623432947035	(26,10)
-1.92331758327216585628817508	(26,11)
